company_name,sic_codes,industry_sector,company_age_years,region,packaging_need,packaging_reason,packaging_multiplier,prospect_score,priority_tier,industry_score,age_score,size_score,geo_score,web_score
Vertex International,94990,Other Services,0.9,Northampton,MEDIUM,Industry may have packaging needs,0.85,51.76,Cool,40.0,69.5,96.0,50.0,40.0
UIN Enterprises,90010,Arts & Entertainment,9.9,London,MEDIUM,Industry may have packaging needs,0.85,51.72,Cool,21.43,100.0,95.0,46.74,40.0
Evans & Wright Engineering,68209,Real Estate,4.8,Belfast,LOW,Real estate - limited need,0.6,51.69,Cool,78.26,89.0,99.5,50.0,100.0
DQR Services,90030,Arts & Entertainment,5.2,Kent,MEDIUM,Industry may have packaging needs,0.85,51.66,Cool,21.43,91.0,100.0,51.47,40.0
FLI Partners,49410,Transportation,96.1,Sheffield,MEDIUM,Industry may have packaging needs,0.85,51.57,Cool,50.0,60.0,94.0,41.67,40.0
VRN Holdings,68310,Real Estate,7.4,Bath,LOW,Real estate - limited need,0.6,51.17,Cool,78.26,100.0,100.0,50.0,78.74
East Ltd,68209,Real Estate,4.3,Wales,LOW,Real estate - limited need,0.6,50.57,Cool,78.26,86.5,94.0,50.0,100.0
Urban UK,68209,Real Estate,6.0,London,LOW,Real estate - limited need,0.6,50.38,Cool,78.26,95.0,100.0,46.74,78.74
Brown & Thompson Print,41201,Construction,0.6,Blackpool,MEDIUM,Industry may have packaging needs,0.85,50.08,Cool,36.49,68.0,93.5,50.0,40.0
United Properties,68320,Real Estate,3.0,Ipswich,LOW,Real estate - limited need,0.6,49.94,Cool,78.26,80.0,95.0,50.0,100.0
GTJ Development,68310,Real Estate,5.2,London,LOW,Real estate - limited need,0.6,49.9,Cool,78.26,91.0,100.0,46.74,78.74
CVH Consulting,68209,Real Estate,3.1,Manchester,LOW,Real estate - limited need,0.6,49.7,Cool,78.26,80.5,93.0,50.0,100.0
Tech Construction,68209,Real Estate,40.0,Cardiff,LOW,Real estate - limited need,0.6,49.44,Cool,78.26,89.0,95.0,55.56,78.74
FIA Design,68100,Real Estate,19.7,Oxford,LOW,Real estate - limited need,0.6,49.19,Cool,78.26,100.0,100.0,75.0,40.0
MXY Development,43390,Construction,0.4,Preston,MEDIUM,Industry may have packaging needs,0.85,49.17,Cool,36.49,67.0,90.0,50.0,40.0
Peak Properties,69102,Professional Services,9.3,Edinburgh,LOW,Pure services - minimal packaging need,0.6,48.71,Cool,52.73,100.0,100.0,53.57,100.0
XLM Design,68100,Real Estate,1.3,Shrewsbury,LOW,Real estate - limited need,0.6,48.69,Cool,78.26,71.5,93.5,50.0,100.0
City Ltd,93130,Arts & Entertainment,34.6,West Midlands,MEDIUM,Industry may have packaging needs,0.85,48.61,Cool,21.43,94.4,92.0,28.85,40.0
Evans & Johnson Capital,71111,Professional Services,12.7,Norwich,LOW,Pure services - minimal packaging need,0.6,48.49,Cool,52.73,100.0,100.0,50.0,100.0
KHA Solutions,71200,Professional Services,15.1,East of England,LOW,Pure services - minimal packaging need,0.6,48.49,Cool,52.73,100.0,100.0,50.0,100.0
UCX Trading,70229,Professional Services,23.8,Bath,LOW,Pure services - minimal packaging need,0.6,48.49,Cool,52.73,100.0,100.0,50.0,100.0
Walker & Thomas Print,70229,Professional Services,4.6,Surrey,LOW,Pure services - minimal packaging need,0.6,48.34,Cool,52.73,88.0,100.0,71.43,100.0
West International,70100,Professional Services,12.5,London,LOW,Pure services - minimal packaging need,0.6,48.3,Cool,52.73,100.0,100.0,46.74,100.0
Crystal PLC,71121,Professional Services,6.5,York,LOW,Pure services - minimal packaging need,0.6,48.19,Cool,52.73,97.5,100.0,50.0,100.0
Global Industries,71122,Professional Services,3.5,London,LOW,Pure services - minimal packaging need,0.6,48.1,Cool,66.67,82.5,96.0,46.74,100.0
Wilson & Brown Associates,70210,Professional Services,10.9,Huddersfield,LOW,Pure services - minimal packaging need,0.6,48.04,Cool,52.73,100.0,97.0,50.0,100.0
Thompson & Wilson Industries,64209,Finance,9.9,Derby,LOW,Financial services - minimal need,0.6,48.0,Cool,50.0,100.0,100.0,50.0,100.0
QEO Logistics,90030,Arts & Entertainment,0.5,Surrey,MEDIUM,Industry may have packaging needs,0.85,47.98,Cool,21.43,67.5,93.5,71.43,40.0
Summit Group,68100,Real Estate,16.8,Edinburgh,LOW,Real estate - limited need,0.6,47.9,Cool,78.26,100.0,100.0,53.57,40.0
Tech & Co,68100,Real Estate,26.5,Kent,LOW,Real estate - limited need,0.6,47.78,Cool,78.26,100.0,100.0,51.47,40.0
First PLC,68310,Real Estate,65.0,Dumfries,LOW,Real estate - limited need,0.6,47.72,Cool,78.26,64.0,93.0,50.0,100.0
Thompson & Roberts Trading,69102,Professional Services,36.9,Brighton,LOW,Pure services - minimal packaging need,0.6,47.54,Cool,52.73,92.1,100.0,50.0,100.0
FEI Logistics,68100,Real Estate,10.9,London,LOW,Real estate - limited need,0.6,47.49,Cool,78.26,100.0,100.0,46.74,40.0
South Industries,70100,Professional Services,5.4,London,LOW,Pure services - minimal packaging need,0.6,47.34,Cool,52.73,92.0,100.0,46.74,100.0
Taylor & Johnson Marketing,70229,Professional Services,6.1,Falkirk,LOW,Pure services - minimal packaging need,0.6,47.2,Cool,52.73,95.5,95.0,50.0,100.0
Vertex Resources,65120,Finance,9.7,London,LOW,Financial services - minimal need,0.6,47.05,Cool,50.0,100.0,95.0,46.74,100.0
Williams & Davies Creative,69109,Professional Services,4.8,Blackpool,LOW,Pure services - minimal packaging need,0.6,46.95,Cool,52.73,89.0,98.5,50.0,100.0
Jones & Taylor Resources,69102,Professional Services,5.4,Lancashire,LOW,Pure services - minimal packaging need,0.6,46.78,Cool,52.73,92.0,100.0,37.5,100.0
Cloud Communications,70229,Professional Services,24.1,Wales,LOW,Pure services - minimal packaging need,0.6,46.58,Cool,52.73,100.0,100.0,50.0,78.74
Smith & Wright Trading,68209,Real Estate,62.1,Kent,LOW,Real estate - limited need,0.6,46.54,Cool,78.26,66.9,95.0,51.47,78.74
Thompson & Davies Manufacturing,70229,Professional Services,3.7,Coventry,LOW,Pure services - minimal packaging need,0.6,46.51,Cool,52.73,83.5,100.0,50.0,100.0
Evans & Roberts Engineering,71200,Professional Services,4.6,Dumfries,LOW,Pure services - minimal packaging need,0.6,46.45,Cool,52.73,88.0,96.0,50.0,100.0
KRD Resources,68310,Real Estate,7.4,West Midlands,LOW,Real estate - limited need,0.6,46.42,Cool,78.26,100.0,100.0,28.85,40.0
Roberts & Williams Properties,64209,Finance,32.4,Bradford,LOW,Financial services - minimal need,0.6,46.39,Cool,50.0,96.6,92.0,50.0,100.0
Express UK,69102,Professional Services,8.9,London,LOW,Pure services - minimal packaging need,0.6,46.38,Cool,52.73,100.0,100.0,46.74,78.74
Speedy Enterprises,70229,Professional Services,10.7,London,LOW,Pure services - minimal packaging need,0.6,46.38,Cool,52.73,100.0,100.0,46.74,78.74
EJX Marketing,69201,Professional Services,18.9,London,LOW,Pure services - minimal packaging need,0.6,46.38,Cool,52.73,100.0,100.0,46.74,78.74
Info & Co,70100,Professional Services,5.4,West Midlands,LOW,Pure services - minimal packaging need,0.6,46.26,Cool,52.73,92.0,100.0,28.85,100.0
KLD Systems,69201,Professional Services,3.9,London,LOW,Pure services - minimal packaging need,0.6,46.14,Cool,52.73,84.5,98.0,46.74,100.0
Johnson & Taylor Technologies,68201,Real Estate,3.9,East of England,LOW,Real estate - limited need,0.6,45.83,Cool,78.26,84.5,100.0,50.0,40.0
TFH Consulting,71111,Professional Services,24.4,Buckinghamshire,LOW,Pure services - minimal packaging need,0.6,45.72,Cool,52.73,100.0,100.0,93.75,40.0
Brown & Thomas Consulting,65120,Finance,3.5,London,LOW,Financial services - minimal need,0.6,45.7,Cool,50.0,82.5,100.0,46.74,100.0
Roberts & Williams Development,66190,Finance,4.5,Cheshire,LOW,Financial services - minimal need,0.6,45.7,Cool,50.0,87.5,96.5,45.45,100.0
Thompson & Roberts Communications,64999,Finance,3.4,London,LOW,Financial services - minimal need,0.6,45.64,Cool,50.0,82.0,100.0,46.74,100.0
Blue Ltd,64209,Finance,3.2,Milton Keynes,LOW,Financial services - minimal need,0.6,45.34,Cool,50.0,81.0,97.5,50.0,100.0
Smith & Johnson Capital,70229,Professional Services,24.5,Sheffield,LOW,Pure services - minimal packaging need,0.6,45.33,Cool,52.73,100.0,95.0,41.67,78.74
Quantum PLC,70100,Professional Services,4.4,Paisley,LOW,Pure services - minimal packaging need,0.6,45.02,Cool,52.73,87.0,100.0,50.0,78.74
Thomas & Jones Associates,70100,Professional Services,3.3,Hull,LOW,Pure services - minimal packaging need,0.6,45.0,Cold,52.73,81.5,91.5,50.0,100.0
Crystal Limited,70100,Professional Services,17.8,Leeds,LOW,Pure services - minimal packaging need,0.6,44.86,Cold,52.73,100.0,100.0,79.55,40.0
Tech & Co,85310,Education,27.9,Reading,LOW,Education - limited need,0.6,44.7,Cold,37.5,100.0,93.0,50.0,100.0
Jones & Brown Group,70229,Professional Services,2.5,Belfast,LOW,Pure services - minimal packaging need,0.6,44.67,Cold,52.73,77.5,92.5,50.0,100.0
OZA Systems,71111,Professional Services,1.7,Wigan,LOW,Pure services - minimal packaging need,0.6,44.64,Cold,52.73,73.5,95.5,50.0,100.0
CHD Creative,66120,Finance,2.6,Aberdeen,LOW,Financial services - minimal need,0.6,44.61,Cold,50.0,78.0,95.0,50.0,100.0
YLF Capital,69102,Professional Services,4.0,London,LOW,Pure services - minimal packaging need,0.6,44.58,Cold,52.73,85.0,100.0,46.74,78.74
BXE Technologies,66120,Finance,36.2,Peterborough,LOW,Financial services - minimal need,0.6,44.47,Cold,50.0,92.8,95.0,50.0,78.74
Rapid Solutions,68100,Real Estate,2.5,Derby,LOW,Real estate - limited need,0.6,44.46,Cold,78.26,77.5,96.5,50.0,40.0
TUC Partners,70229,Professional Services,1.7,London,LOW,Pure services - minimal packaging need,0.6,44.44,Cold,52.73,73.5,95.5,46.74,100.0
LOB Communications,70229,Professional Services,0.9,Inverness,LOW,Pure services - minimal packaging need,0.6,43.86,Cold,52.73,69.5,93.5,50.0,100.0
NSF Marketing,69102,Professional Services,1.6,London,LOW,Pure services - minimal packaging need,0.6,43.78,Cold,52.73,73.0,91.5,46.74,100.0
HSN Trading,69109,Professional Services,22.1,London,LOW,Pure services - minimal packaging need,0.6,42.9,Cold,52.73,100.0,100.0,46.74,40.0
Crown Ltd,68100,Real Estate,0.6,Peterborough,LOW,Real estate - limited need,0.6,42.87,Cold,78.26,68.0,93.5,50.0,40.0
Golden International,69109,Professional Services,0.4,Dumfries,LOW,Pure services - minimal packaging need,0.6,42.81,Cold,52.73,67.0,88.5,50.0,100.0
PUD Resources,71111,Professional Services,2.0,Cambridge,LOW,Pure services - minimal packaging need,0.6,42.47,Cold,52.73,75.0,91.5,20.83,100.0
Quick International,66190,Finance,0.5,Huddersfield,LOW,Financial services - minimal need,0.6,42.38,Cold,50.0,67.5,88.5,50.0,100.0
XSF Group,69102,Professional Services,25.7,Sunderland,LOW,Pure services - minimal packaging need,0.6,42.34,Cold,52.73,100.0,95.0,50.0,40.0
Elite & Co,66190,Finance,8.9,Leicester,LOW,Financial services - minimal need,0.6,42.1,Cold,50.0,100.0,100.0,41.67,40.0
ADY Marketing,71111,Professional Services,6.7,London,LOW,Pure services - minimal packaging need,0.6,41.97,Cold,52.73,98.5,95.0,46.74,40.0
Apex & Co,70100,Professional Services,18.8,West Midlands,LOW,Pure services - minimal packaging need,0.6,41.82,Cold,52.73,100.0,100.0,28.85,40.0
Tech Management,71200,Professional Services,31.2,Bolton,LOW,Pure services - minimal packaging need,0.6,41.63,Cold,52.73,97.8,92.0,50.0,40.0
Digital UK,85100,Education,1.3,Staffordshire,LOW,Education - limited need,0.6,41.36,Cold,37.5,71.5,93.5,50.0,100.0
Quantum & Co,66190,Finance,9.8,West Midlands,LOW,Financial services - minimal need,0.6,41.33,Cold,50.0,100.0,100.0,28.85,40.0
ZBI Capital,70229,Professional Services,39.2,Stockport,LOW,Pure services - minimal packaging need,0.6,41.12,Cold,52.73,89.8,95.0,50.0,40.0
Net Development,66120,Finance,3.9,Kent,LOW,Financial services - minimal need,0.6,40.83,Cold,50.0,84.5,100.0,51.47,40.0
Wilson & Jones Technologies,68100,Real Estate,69.7,Hull,LOW,Real estate - limited need,0.6,40.79,Cold,78.26,60.0,86.0,50.0,40.0
Royal Ltd,68209,Real Estate,68.1,London,LOW,Real estate - limited need,0.6,40.7,Cold,78.26,60.9,86.0,46.74,40.0
Beta Group,85320,Education,26.2,Ipswich,LOW,Education - limited need,0.6,40.35,Cold,37.5,100.0,100.0,50.0,40.0
Walker & Evans Management,68201,Real Estate,85.3,Huddersfield,LOW,Real estate - limited need,0.6,40.34,Cold,78.26,60.0,83.0,50.0,40.0
Urban Engineering,69102,Professional Services,79.4,Lancashire,LOW,Pure services - minimal packaging need,0.6,39.83,Cold,52.73,60.0,92.0,37.5,78.74
Roberts & Brown Partners,64209,Finance,89.8,Middlesex,LOW,Financial services - minimal need,0.6,37.2,Cold,50.0,60.0,91.0,62.5,40.0
